,C2N_Bio_Score,CF_AP_Score,Economic_Capital_Investment_Score,Economic_Consumption_Score,Economic_Employment_Score,Economic_Finance_Score,Economic_Innovation_Score,Economic_Production_Score,Economic_Re_Distribution_Score,Ecosystem_Air_Quality_Score,Ecosystem_Food__Fiber_and_Fuel_Provisioning_Score,Ecosystem_Greenspace_Score,Ecosystem_Water_Quality_Score,Ecosystem_Water_Quantity_Score,EDU_BE_Score,EDU_PA_Score,EDU_SED_Score,HEA_HC_Score,HEA_LEM_Score,HEA_LB_Score,HEA_PWB_Score,HEA_PMHC_Score,Domain_Score_x,LTM_AP_Score,LTM_TS_Score,LTM_WAA_Score,LST_BN_Score,LST_INC_Score,LST_WEA_Score,LST_WRK_Score,SAS_ACTS_Score,SAS_PERS_Score,SAS_RISK_Score,Domain_Score_y,SC_ATC_Score,SC_DME_Score,SC_FAM_Score,SC_SENG_Score,SC_SSUP_Score
Ecosystem_Food__Fiber_and_Fuel_Provisioning_Score,0.13071987649623298,-0.023067217,0.2045355847039634,0.19873528730637666,-0.097479336,-0.192840137,-0.08374454,0.20715555035933295,-0.065584729,0.30743289211867714,1,0.17679760728832494,0.5550828883900154,-0.276534505,-0.074218825,-0.189401338,-0.032447295,-0.063883765,-0.072129229,-0.041038807,-0.045268726,-0.012497255,-0.13093819,-0.186567118,0.017213831959379186,-0.118478756,0.085890206,-0.312502066,-0.105958818,0.07996375,-0.068967503,-0.006001208,-0.226594814,0.011750447953789605,0.11005663081447017,0.081840665,-0.067150569,0.085532941,-0.151798458
Ecosystem_Greenspace_Score,-0.101816077,0.058883433782241534,0.088076917,0.059495182,0.12533232478880127,0.088784724,0.004817771,-0.104412784,0.097080824,-0.020067014,0.17679760728832494,1,0.18621780324445428,-0.04240086,0.077358575,0.18717448214711035,0.047176389,-0.090996447,0.015733974,0.005809335,0.06888084,0.12404813322022512,-0.040364472,0.053383222,-0.088128557,-0.068153067,-0.14953657,0.056127219,0.12360580239853156,0.051135039,-0.132496625,0.11018081490453746,-0.026127408,0.092058238,0.069556467,0.096697662,0.046823761,0.096238428,0.08477055
Ecosystem_Water_Quality_Score,0.070118724,0.020384125585946114,0.21085292504118475,0.2949689868278326,-0.097455038,-0.191495423,-0.097008656,0.2017035769369858,0.10488758757632947,0.5114921420831292,0.5550828883900154,0.18621780324445428,1,-0.12554723,0.039340387864973424,-0.124533111,0.088529725,-0.027485866,-0.149361042,-0.046711821,-0.09083717,-0.076868179,-0.323380401,-0.335975121,-0.093083288,-0.288555723,0.11875761866356822,-0.381844174,-0.211444017,0.21818868455517987,0.048232983397712655,0.051956470071803464,-0.318220253,0.13396896235464656,0.2666891016763262,0.20179237539945002,0.001122472,0.21052604611913095,-0.086898374
Ecosystem_Water_Quantity_Score,-0.041363463,-0.058836826,0.076402419,0.11110909535093053,-0.076330718,0.051323731,0.004713445,-0.111502527,0.081177943,-0.0055783,-0.276534505,-0.04240086,-0.12554723,1,0.053987618575033855,0.037699385,0.062561065,0.11561551358496668,-0.018816433,0.039673447,-0.011943096,-0.048396874,0.030006699,0.038870955,0.035808585,-0.01923479,0.096886484,0.076733366,0.043190394,0.007894231,0.21745589649768615,0.043745587,0.023570841566630044,0.040131828481971187,0.015125144900217193,0.017022206700556184,0.079470016,0.00432225,0.073530699
EDU_BE_Score,-0.7780318,0.7393947539368703,0.10427875465406229,0.2411776331312069,0.21241638149333175,0.062422648,0.042869333549577136,-0.184874951,0.36069559965613385,0.091181063,-0.074218825,0.077358575,0.039340387864973424,0.053987618575033855,1,0.8051539815082898,0.9472570501718137,0.047362565,0.18348071722707804,0.11438217581749752,0.071319374,0.2465736981467145,-0.647420596,-0.184494508,-0.584448997,-0.7340947,0.36681635986146993,0.4861442968471703,0.11822219929750229,0.5449366640056023,0.2512929821159772,0.38266857373498003,0.11883551832418851,0.85721938,0.6068598943029929,0.7590342167895736,0.9129656967718361,0.7677577723211858,0.7543858135635735
EDU_PA_Score,-0.814405586,0.7039118664084836,0.067112532,0.14995943843905604,0.3670748096050181,0.17291898393674135,0.091136248,-0.331970881,0.35042278228473034,-0.061901271,-0.189401338,0.18717448214711035,-0.124533111,0.037699385,0.8051539815082898,1,0.7380022695502897,0.064523159,0.2573597044033996,0.18039344748997996,0.15401142406664806,0.3363550750462641,-0.469947104,-0.05231292,-0.494718427,-0.553893947,0.097991025,0.576978129,0.29597023922318577,0.4927677341366721,0.1655633914832355,0.3866817784039596,0.19694215744454116,0.7815967706328566,0.535955042,0.691797294,0.7577148765929138,0.6841902869259789,0.7704684562650549
EDU_SED_Score,-0.759504762,0.7380661323499548,0.10201229100324516,0.25621418669628965,0.18687609009031947,0.035483117194987465,0.027015482943377175,-0.148051191,0.3398984250219992,0.14152601975495108,-0.032447295,0.047176389,0.088529725,0.062561065,0.9472570501718137,0.7380022695502897,1,0.050076520930619504,0.1670141199497842,0.14350048198155202,0.057411285594281644,0.22542073672381752,-0.665997685,-0.165506622,-0.635488445,-0.744104268,0.49074375685882304,0.4651139563865747,0.048819731578883314,0.5595932152483375,0.2766186970136354,0.3797948091523964,0.10961420594963477,0.8652483865919787,0.6247481187597288,0.7497056813900204,0.925657188,0.7881028649661068,0.7377620517290349
HEA_HC_Score,-0.045344815,0.066171676,0.077652488,0.10002473235022118,0.050955791,-0.024378621,0.008351906,-0.076489006,0.054288358,0.022302874001889912,-0.063883765,-0.090996447,-0.027485866,0.11561551358496668,0.047362565,0.064523159,0.050076520930619504,1,0.04108746,0.066980851,0.043737729171296445,-0.069172248,-0.045148685,-0.02249017,-0.016722162,-0.069182247,0.032031761295657685,0.089331477,-0.028121601,0.055648111256167185,0.18451510606086763,0.11550118975345817,0.093733415,0.062969165,0.082167457,0.03565228,0.043771337,0.031887291,0.081958478
HEA_LEM_Score,-0.107567603,0.16257818477616992,-0.145162031,-0.051407694,0.2997725854661142,0.1271484901838846,0.089882382,-0.08264445,0.10962435961257329,-0.147569482,-0.072129229,0.015733974,-0.149361042,-0.018816433,0.18348071722707804,0.2573597044033996,0.1670141199497842,0.04108746,1,0.25559763142990805,0.1613103036571506,0.3050417811280646,0.037996852,0.2585143679373428,-0.178782463,-0.021836105,-0.024928746,0.3986208527772153,0.32291186930662297,0.071810221,0.2167451966918699,0.25444758813767365,0.3396132610203929,0.12790351213705933,0.036017177902292294,0.052883357,0.16482923583562278,0.10315989233220312,0.1777561171664182
HEA_LB_Score,-0.086323134,0.1438651934613798,-0.091551599,-0.038341353,0.15058508044016566,0.049728816,0.015629517886524558,-0.118434792,0.03228323,-0.079773069,-0.041038807,0.005809335,-0.046711821,0.039673447,0.11438217581749752,0.18039344748997996,0.14350048198155202,0.066980851,0.25559763142990805,1,0.10948454601951281,0.12069180711542611,-0.016117564,0.1332291463343824,-0.182956514,0.010485299220801802,0.049629406,0.2634168130403751,0.15697612198212468,0.035029061,0.16146996267452987,0.15209023310241584,0.20798869567125253,0.081547103,0.024455213951201264,0.006873441,0.1149111482164733,0.086870045,0.087868668
